r,g,b,class,maptype
217,221,211,0,1
60,59,52,1,1
195,76,81,2,1
220,217,206,0,1
20,18,13,1,1
47,126,36,2,1
222,212,202,0,1
99,148,79,2,1
18,14,11,1,1
232,231,223,0,1
82,170,60,2,1
21,20,16,1,1
67,65,56,2,1
232,231,223,0,1
82,170,60,2,1
21,20,16,1,1
67,65,56,2,1
226,232,221,0,1
121,166,104,2,1
20,20,16,1,1
62,62,52,2,1
220,223,212,0,1
25,22,18,1,1
99,91,79,2,1
218,217,215,0,1
23,20,19,1,1
61,55,51,2,1
48,130,37,2,1
214,218,202,0,1
23,23,16,1,1
97,89,72,2,1
227,223,216,0,1
84,165,56,2,1
18,14,11,1,1
25,40,141,2,1
223,227,218,0,1
27,25,23,1,1
75,73,65,2,1
243,241,231,0,1
185,170,125,2,1
84,83,69,1,1
98,157,107,2,1
238,215,97,2,1
177,82,85,2,1
235,223,197,0,1
248,251,250,0,1
80,78,68,1,1
193,129,108,2,1
194,104,88,2,1
202,141,111,2,1
241,244,249,0,0
124,122,122,1,0
159,160,162,1,0
243,240,229,0,0
177,166,149,1,0
207,199,183,1,0
241,240,226,0,0
60,56,43,1,0
236,235,223,0,0
235,236,225,0,0
86,95,189,1,0
217,201,173,0,0
251,250,248,0,0
74,70,66,1,0
239,224,199,0,0
252,252,252,0,0
78,74,72,1,0
124,114,104,1,0
109,100,92,1,0
171,161,146,1,0
142,132,121,1,0
252,252,233,0,1
168,224,104,2,1
68,60,48,1,1
243,117,68,2,1
165,110,44,2,1
22,103,177,2,1
252,252,233,0,1
170,229,109,2,1
67,59,47,1,1
243,113,64,2,1
152,144,127,2,1
250,167,125,2,1
60,144,205,2,1
251,249,229,0,1
203,229,146,2,1
72,64,45,1,1
251,251,226,0,1
174,218,106,2,1
162,137,68,2,1
74,62,43,1,1
252,252,227,0,1
184,235,127,2,1
87,78,62,1,1
247,131,76,2,1
250,173,125,2,1
161,154,131,2,1
185,115,52,2,1
51,135,200,2,1
100,172,209,2,1
251,250,223,0,1
167,224,109,2,1
73,64,45,1,1
138,114,70,2,1
186,99,43,2,1
246,160,110,2,1
95,155,196,2,1
252,250,221,0,1
81,69,52,1,0
163,218,104,2,1
151,141,117,2,1
222,98,51,2,1
186,70,30,2,1
244,157,110,2,1
130,60,30,2,1
45,121,182,2,1
228,244,190,0,1
187,151,80,2,1
69,64,46,1,1
95,118,99,2,1
249,251,232,0,1
179,144,71,2,1
77,69,46,1,1
188,221,120,2,1
222,215,206,0,1
198,110,100,2,1
206,161,151,2,1
78,65,60,1,1
108,97,93,1,1
151,95,89,2,1
219,216,208,0,1
90,111,133,2,1
62,55,55,1,1
74,70,71,1,1
225,219,202,0,0
13,9,7,1,0
94,90,82,1,0
44,38,34,1,0
65,60,55,1,0
35,20,79,1,0
218,212,196,0,0
56,52,48,1,0
32,28,26,1,0
91,87,80,1,0
221,217,204,0,0
6,6,6,1,0
88,85,77,1,0
123,34,24,1,0
228,222,205,0,0
23,19,16,1,0
65,62,56,1,0
51,47,43,1,0
107,103,93,1,0
94,89,80,1,0
161,133,71,1,0
63,71,106,1,0
207,198,174,0,0
75,84,82,1,0
216,208,186,0,0
207,198,174,0,0
209,200,176,0,0
75,82,80,1,0
203,194,168,0,0
87,93,86,1,0
221,202,178,0,0
71,80,86,1,0
215,206,180,0,0
198,191,169,0,0
142,137,124,1,0
194,182,158,0,0
187,169,141,0,0
233,233,233,0,0
205,196,170,0,0
194,185,162,0,0
35,29,26,1,0
223,220,202,0,0
38,35,33,1,0
67,65,60,1,0
212,207,192,0,0
249,252,253,0,1
69,116,212,2,1
165,208,68,2,1
175,177,218,2,1
25,45,41,1,1
214,109,93,2,1
250,253,255,0,1
162,210,66,2,1
50,44,39,1,1
89,129,218,2,1
137,133,140,1,1
172,60,43,2,1
212,99,85,2,1
250,253,255,0,1
35,31,28,1,1
231,162,155,2,1
123,116,117,1,1
236,76,48,2,1
71,116,186,2,1
144,84,65,2,1
177,73,51,2,1
249,252,253,0,1
165,208,68,2,1
164,185,238,2,1
51,47,42,1,1
191,93,63,2,1
250,252,255,0,1
47,39,36,1,1
217,97,81,2,1
162,201,67,2,1
132,122,134,2,1
250,253,255,0,1
168,215,72,2,1
51,50,43,1,1
132,128,135,2,1
218,105,88,2,1
250,253,255,0,1
166,215,69,2,1
50,45,40,1,1
196,78,58,2,1
139,132,140,1,1
227,143,134,2,1
109,140,213,2,1
66,108,195,2,1
242,246,254,0,1
52,45,41,1,1
161,203,71,2,1
215,203,176,0,1
47,44,46,1,1
58,66,62,1,1
176,98,103,2,1
224,214,192,0,1
66,68,70,1,1
81,90,86,1,1
208,130,154,2,1
210,122,100,2,1
223,213,191,0,1
16,11,15,1,1
118,162,128,2,1
85,83,78,1,1
67,62,61,1,1
110,104,97,1,1
198,66,110,2,1
